Shot,Flyer,VF(km/s),vf_err,UP(km/s),up_err,US(km/s),us_err,ρ(g/cm3),rho_err,Pressure(GPa),p_err
Z1956S,Al,22.12,0.05,11.93,0.04,19.34,0.04,5.743,0.039,507.6,2.0
Z3050N,Al,22.60,0.05,12.18,0.04,19.65,0.04,5.789,0.040,526.7,2.1
Z2044N,Al,22.72,0.05,12.25,0.04,19.73,0.04,5.799,0.040,531.5,2.1
Z3050N,Al,22.72,0.05,12.25,0.04,19.72,0.04,5.806,0.040,531.3,2.1
Z2044N,Al,22.73,0.05,12.25,0.04,19.76,0.04,5.785,0.039,532.3,2.1
Z2044N,Al,22.75,0.05,12.27,0.04,19.73,0.04,5.815,0.040,532.4,2.1
Z2195N,Al,23.06,0.07,12.42,0.05,19.95,0.05,5.831,0.051,545.3,2.6
Z3201S,Al,23.11,0.06,12.46,0.05,19.94,0.07,5.863,0.058,546.5,2.5
Z1806N,Al,23.18,0.05,12.47,0.04,20.11,0.04,5.790,0.039,551.6,2.1
Z3044S,Al,23.29,0.09,12.55,0.06,20.09,0.06,5.858,0.063,554.5,3.2
Z1806N,Al,23.38,0.05,12.58,0.04,20.20,0.04,5.833,0.039,559.1,2.1
Z1881N,Al,23.68,0.11,12.72,0.08,20.49,0.08,5.801,0.075,573.3,3.9
Z1881N,Al,23.80,0.11,12.81,0.08,20.44,0.08,5.892,0.078,576.0,3.9
Z2496N,Al,24.00,0.13,12.92,0.09,20.52,0.11,5.943,0.100,583.4,4.6
Z2195S,Al,24.49,0.09,13.14,0.07,21.02,0.07,5.869,0.064,607.7,3.4
Z1957N,Al,24.66,0.05,13.26,0.04,21.00,0.04,5.967,0.040,612.5,2.3
Z2959N,Al,24.74,0.05,13.28,0.04,21.17,0.04,5.899,0.039,618.3,2.3
Z1806N,Al,24.75,0.05,13.27,0.04,21.22,0.04,5.873,0.038,619.5,2.3
Z2959S,Al,24.98,0.05,13.40,0.04,21.33,0.04,5.917,0.039,628.8,2.3
Z1881S,Al,25.08,0.11,13.47,0.08,21.29,0.08,5.993,0.078,631.1,4.1
Z2496S,Al,25.12,0.14,13.49,0.10,21.35,0.13,5.974,0.111,633.5,5.3
Z1806S,Al,25.17,0.05,13.50,0.04,21.46,0.04,5.929,0.039,637.2,2.3
Z2741N,Al,25.20,0.05,13.52,0.04,21.47,0.04,5.937,0.039,638.4,2.3
Z2567S,Al,25.24,0.14,13.53,0.10,21.51,0.12,5.932,0.103,640.4,5.2
Z2741N,Al,25.30,0.05,13.55,0.04,21.60,0.04,5.905,0.038,644.0,2.3
Z2043N,Al,25.34,0.05,13.60,0.04,21.50,0.04,5.988,0.039,643.3,2.3
Z2043N,Al,25.42,0.05,13.65,0.04,21.53,0.04,6.009,0.040,646.4,2.4
Z2741N,Al,25.42,0.05,13.63,0.04,21.62,0.04,5.952,0.039,648.2,2.4
Z2043N,Al,25.51,0.05,13.69,0.04,21.59,0.04,6.016,0.040,650.4,2.4
Z1957S,Al,26.00,0.05,13.95,0.04,21.91,0.04,6.055,0.040,672.4,2.4
Z2229N,Al,26.61,0.07,14.28,0.06,22.24,0.08,6.149,0.066,698.8,3.3
Z1989N,Al,26.78,0.05,14.37,0.04,22.35,0.04,6.163,0.041,706.7,2.5
Z1882N,Al,26.85,0.11,14.39,0.08,22.49,0.08,6.107,0.077,711.9,4.3
Z2690N,Al,26.85,0.05,14.37,0.04,22.56,0.04,6.062,0.039,713.4,2.5
Z1958N,Al,27.06,0.05,14.51,0.04,22.58,0.04,6.154,0.040,720.7,2.6
Z2229S,Al,27.70,0.07,14.85,0.05,22.95,0.04,6.235,0.048,749.9,3.1
Z1882S,Al,28.30,0.11,15.15,0.08,23.39,0.08,6.248,0.079,779.8,4.6
Z2690S,Al,28.42,0.05,15.19,0.04,23.59,0.04,6.179,0.040,788.4,2.8
Z2691N,Al,28.43,0.05,15.19,0.04,23.62,0.04,6.165,0.039,789.4,2.8
Z1958S,Al,28.58,0.05,15.30,0.04,23.59,0.04,6.258,0.041,793.9,2.8
Z1882S,Al,28.60,0.11,15.31,0.08,23.59,0.08,6.268,0.079,794.5,4.6
Z2233Na,Al,28.82,0.05,15.26,0.07,23.67,0.07,6.189,0.065,794.5,4.0
Z1959N,Al,29.16,0.05,15.62,0.04,23.87,0.04,6.366,0.042,820.3,2.8
Z2233Sb,Al,29.49,0.05,15.60,0.07,24.01,0.04,6.283,0.056,824.2,3.9
Z1949S,Al,30.00,0.05,16.02,0.05,24.58,0.04,6.319,0.041,866.5,3.0
Z1959S,Al,30.51,0.05,16.32,0.05,24.77,0.04,6.449,0.043,889.3,3.1
Z2691S,Al,30.60,0.05,16.35,0.05,24.92,0.04,6.395,0.042,896.2,3.1
Z2514N,Al,31.01,0.05,16.56,0.05,25.20,0.04,6.415,0.042,918.0,3.2
Z2514N,Al,31.08,0.05,16.60,0.05,25.23,0.04,6.430,0.042,921.3,3.2
Z2692N,Al,31.15,0.05,16.62,0.05,25.33,0.04,6.400,0.041,926.3,3.2
Z2017S,Al,31.25,0.05,16.68,0.05,25.36,0.04,6.429,0.042,930.7,3.2
Z2514S,Al,31.25,0.05,16.67,0.05,25.40,0.04,6.403,0.041,931.7,3.2
Z2577N,Al,31.62,0.05,16.87,0.05,25.64,0.04,6.429,0.042,951.4,3.3
Z2577N,Al,31.88,0.05,17.00,0.05,25.81,0.04,6.446,0.042,965.4,3.3
Z2015S,Al,31.95,0.05,17.05,0.05,25.81,0.04,6.481,0.042,968.0,3.3
Z2052N,Al,32.20,0.05,17.17,0.05,26.02,0.04,6.467,0.042,982.8,3.4
Z2577S,Al,32.35,0.05,17.25,0.05,26.11,0.04,6.482,0.042,990.8,3.4
Z2577S,Al,32.40,0.05,17.27,0.05,26.15,0.04,6.480,0.042,993.7,3.4
Z1948S,Al,32.86,0.05,17.52,0.05,26.39,0.04,6.549,0.043,1017.5,3.5
Z2513N,Al,34.34,0.05,18.28,0.05,27.42,0.04,6.601,0.043,1102.8,3.8
Z2112N,Cu,16.31,0.05,11.50,0.04,18.76,0.04,5.688,0.041,474.8,2.2
Z2112N,Cu,16.37,0.05,11.53,0.04,18.89,0.04,5.651,0.040,479.4,2.2
